,check,amount,Purchase,Category,FOIA No,Link,Comments,not shown
10/15/2014,17678,8500,lexis nexis,surveillance,15-4684,17678.pdf,,
10/20/2014,17681,5886,Phones,Routine,15-5691,17681.pdf,,
10/21/2014,17688,18493.96,Phones,Routine,15-5691,17688.pdf,,
10/24/2014,17698,21926.44,phones,Routine,15-4684,17698.pdf,,Is written as check 17696 in freddy doc
10/24/2014,17699,137171.67,penlink,surveillance,15-6529,17699.pdf,,
11/3/2014,17710,104265,Enterprise,Routine,15-6529,17710.pdf,,
11/4/2014,17711,15123.81,Phones,Routine,15-5691,17711.pdf,,
11/20/2014,17732,8500,lexis nexis,surveillance,15-4684,17732.pdf,,
11/24/2014,17737,102644.73,Enterprise,Routine,15-6529,17737.pdf,,
11/25/2014,17741,15064.12,Phones,Routine,15-5691,17741.pdf,,
12/1/2014,17748,389823.46,hidta distribution correction,Routine,15-6529,17748.pdf,,
12/2/2014,17755,24238.92,phones,Routine,15-4684,17755.pdf,,
12/12/2014,17763,5960,Drug Testing,Routine,15-5691,17763.pdf,,
12/12/2014,17765,5894.25,Lexis Nexis,surveillance,15-5691,17765.pdf,,
12/17/2014,17767,13994.47,repair of seized vehicles,Routine,15-5691,17767.pdf,,
12/17/2014,17769,104811.75,Enterprise,Routine,15-6529,17769.pdf,,
1/2/2015,17772,7190,Drug Testing,Routine,15-5293,17772.pdf,,
1/5/2015,17789,19015.98,Phones,Routine,15-5293,17789.pdf,,
1/5/2015,17790,15032.37,lexis nexis,surveillance,15-5293,17790.pdf,,
1/6/2015,17792,8500,lexis nexis,surveillance,"15-4684, 15-5293",17792.pdf,,
1/6/2015,17795,48012,"video retrieval, 12 dell laptops, Cover hardware CONFLICT",Routine,"15-4684, 15-5293",17795.pdf,"Helsby lawsuit because of over-redaction, got another version with less redaction, http://resvid.com/retrieval-tools/",check amount differs from Freddy doc
1/15/2015,17811,5811.5,lexis nexis,surveillance,15-5293,17811.pdf,,
1/22/2015,17820,8500,lexis nexis,surveillance,"15-4684, 15-5293",17820.pdf,,
1/23/2015,17827,106382.11,Enterprise,Routine,15-6529,17827.PDF,,
2/3/2015,17844,5716,Lexis Nexis,surveillance,15-5293,17844.pdf,,
2/4/2015,17849,15221.37,Phones,Routine,15-5293,17849.pdf,,
