Date,Amount,Purchase,Category,Link,MuckRock Link
2011-08-08,33617.49,phones,phones,15801.pdf,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
2011-08-08,30977.40,phones,phones,15802.pdf,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
2011-08-16,5552.50,lexis nexis,routine,15805.odf,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
2011-08-16,27407.53,phones,phones,15809.pdf,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
2011-08-17,8500.00,lexis nexis,routine,15810.pdf,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
2011-08-17,17960.19,phones,phones,15826.pdf,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
2011-08-26,8500.00,lexis nexis,routine,15826.pdf,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
2011-09-01,5955.39,at&t trunking,routine,15830.PDF,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
2011-09-01,5200.00,phones,phones,15836.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
2011-09-01,138467.13,enterprise,car rental,15847.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
2011-09-13,17309.03,phones,phones,15860.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
2011-09-14,6275.00,pen register,surveillance,15861.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
2011-09-14,19857.56,phones,phones,15871.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
2011-10-03,47000.00,research electronics,unknown,15886.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
2011-10-03,5569.25,web access to ??,unknown,15893.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
2011-10-03,8500.00,web access to ??,unknown,15894.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
2011-10-12,25256.23,phones,phones,15908.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
2011-10-19,8500.00,web access to ??,unknown,15913.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
2011-11-01,23750.00,research electronics,unknown,15921.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
2011-11-01,17861.19,phones,phones,15924.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
2011-11-07,8518.12,car repair,routine,15950.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
2011-11-15,6002.00,lexis nexis,routine,15959.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
2011-11-15,25445.03,phones,phones,15960.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
2011-11-15,17058.97,phones,phones,15961.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
2011-11-16,7828.00,sandoval custom creations for ?? cameral and ??,unknown,15964.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
2011-11-16,8500.00,web access to ??,unknown,15970.pdf,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15908-15970-26669/
2011-11-16,11392.50,web access to ??,unknown,15971.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
2011-11-23,17240.45,cpd dept of fleet mngmt,routine,15980.PDF,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
2011-12-27,14388.00,freight security net,unknown,16005.PDF,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
2011-12-27,7500.00,keyw corporation,surveillance,16006.PDF,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
2012-01-03,8505.50,web access to ??,unknown,16012.PDF,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
2012-01-11,6160.00,web access to ??,unknown,16027.PDF,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
2012-01-18,25292.15,phones,phones,16042.PDF,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
2012-01-18,25577.62,phones,phones,16043.PDF,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
2012-01-18,16555.49,phones,phones,16044.PDF,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
2012-01-18,17420.76,phones,phones,16045.PDF,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
2012-01-19,8500.00,web access to ??,unknown,16046.PDF,https://www.muckrock.com/foi/chicago-169/1505-checks-15980-to-16046-23261/
2012-01-23,164190.27,enterprise,car rental,16050.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2012-01-26,138866.00,penlink,surveillance,16056.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2012-02-01,6097.00,lexis nexis,routine,16062.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2012-02-01,5718.54,car repair,routine,16066.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2012-02-01,126310.34,enterprise,car rental,16073.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2012-02-07,8240.65,car repair,routine,16083.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2012-02-10,25684.42,phones,phones,16090.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2012-02-16,17276.52,phones,phones,16092.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2012-02-23,8503.50,lexis nexis,routine,16102.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2012-02-27,71408.31,enterprise,car rental,16104.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16050-to-16104-23255/
2012-03-06,117007.63,enterprise,car rental,16130.PDF,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15971-16130-26670/
2012-03-06,6262.55,??????,unknown,No data,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
2012-03-09,25553.83,phones,phones,16144.PDF,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
2012-03-14,8501.50,??????,unknown,16150.PDF,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
2012-03-14,18244.10,phones,phones,16151.PDF,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
2012-03-16,6960.00,??????,unknown,16152.PDF,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
2012-03-20,136448.53,enterprise,car rental,16159.PDF,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
2012-04-02,6374.50,??????,unknown,16172.PDF,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
2012-04-02,5267.68,us marshalls service/cpd,unknown,16173.PDF,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
2012-04-04,8400.00,dea conference,routine,16191.PDF,https://www.muckrock.com/foi/chicago-169/1505ml-checks-16131-16777-26591/
2012-04-17,25591.07,phones,phones,16230.pdf,No data
2012-04-17,16729.07,phones,phones,16233.pdf,No data
2012-04-18,8504.50,lexis nexis,routine,16244.pdf,No data
2012-05-01,129618.09,enterprise,car rental,16264.pdf,No data
2012-05-10,25975.14,phones,phones,16297.pdf,No data
2012-05-10,8975.15,car repair,routine,16300.pdf,No data
2012-05-16,8531.25,lexis nexis,routine,16309.pdf,No data
2012-05-16,16209.20,phones,phones,16310.pdf,No data
2012-06-01,121672.27,enterprise,car rental,16336.pdf,No data
2012-06-01,10791.00,gps trackers,surveillance,16338.pdf,No data
2012-06-13,12123.25,lexis nexis,routine,16351.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
2012-06-21,8786.50,lexis nexis,routine,16356.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
2012-06-21,16333.04,phones,phones,16359.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
2012-07-02,46469.00,phones,phones,16379.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
2012-07-02,128527.97,enterprise,car rental,16381.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
2012-07-02,18820.00,1000 nik drug test pouches,routine,16382.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
2012-07-10,11675.00,pen register,surveillance,16392.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
2012-07-20,619088.00,20 unmarked ocd vehicles,routine,16402.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
2012-07-20,20000.00,dare & great program funding,routine,16403.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
2012-07-26,8510.50,lexis nexis,routine,16414.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16351-to-16414-23095/
2012-07-26,12670.90,lexis nexis,routine,16417.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
2012-08-02,16507.48,phones,phones,16432.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
2012-08-02,126577.77,enterprise,car rental,16434.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
2012-08-03,360605.11,ballistics lab,routine,16437.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
2012-08-03,26544.08,phones,phones,16438.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-16417-to-16614-23025/
